Date,Date,Open,High,Low,Close,Adj Close,Volume
21-07-2014,41841,1234,1234.930054,1221.530029,1231.880005,1061.919922,981072
22-07-2014,41842,1232.5,1270,1230.949951,1266.199951,1091.504761,2399016
23-07-2014,41843,1270,1298.150024,1266.150024,1293.069946,1114.667603,2065858
24-07-2014,41844,1297.449951,1301,1283.5,1297.599976,1118.572388,1481418
25-07-2014,41845,1297,1307.180054,1283.5,1302.880005,1123.123901,1806914
28-07-2014,41848,1288.569946,1299.819946,1277.5,1294.650024,1120.328857,1314922
30-07-2014,41850,1292.400024,1305,1286.300049,1297.530029,1122.821289,1899252
31-07-2014,41851,1287.550049,1299,1284.619995,1290.030029,1116.330933,2407210
01-08-2014,41852,1287.5,1293.969971,1255,1258.199951,1088.786743,2381882
04-08-2014,41855,1266,1270.949951,1244,1263.030029,1092.966187,1828636
05-08-2014,41856,1272.449951,1272.5,1245.050049,1261.849976,1091.945313,1404656
06-08-2014,41857,1258.069946,1267.430054,1245.119995,1253.319946,1084.564087,1837562
07-08-2014,41858,1245,1247.5,1229.530029,1234.900024,1068.624146,1672656
08-08-2014,41859,1232.5,1253.849976,1232.5,1239.349976,1072.474731,1464790
11-08-2014,41862,1245.449951,1247.780029,1227.5,1234.199951,1068.018555,1290896
12-08-2014,41863,1244.949951,1244.949951,1220.099976,1235.880005,1069.472046,984552
13-08-2014,41864,1235,1265,1235,1250.030029,1081.716919,2768378
14-08-2014,41865,1257,1266,1245.030029,1249.880005,1081.586914,1578056
18-08-2014,41869,1245.530029,1252.5,1235,1243.800049,1076.325684,1373260
19-08-2014,41870,1250,1252.449951,1217.5,1219.25,1055.081177,3234156
20-08-2014,41871,1222.25,1227.530029,1215.030029,1218.099976,1054.08606,2056758
21-08-2014,41872,1223.5,1230,1215,1216.219971,1052.459473,2265450
22-08-2014,41873,1222,1234.099976,1217.900024,1232.099976,1066.20105,3096238
25-08-2014,41876,1235,1264.25,1233.449951,1261.030029,1091.235474,3143512
26-08-2014,41877,1264.5,1275,1250,1266.900024,1096.315552,1815490
27-08-2014,41878,1267,1283.699951,1257.030029,1274.969971,1103.298584,1435460
28-08-2014,41879,1273.5,1274.650024,1256.5,1261.180054,1091.365601,1766288
01-09-2014,41883,1262.699951,1280,1261.530029,1268.569946,1097.760376,810148
02-09-2014,41884,1272.900024,1277.400024,1257.050049,1268.949951,1098.089111,1407940
03-09-2014,41885,1269.5,1308,1269.5,1303.199951,1127.727539,3061690
04-09-2014,41886,1311,1313.719971,1288.719971,1292.380005,1118.364624,1701598
05-09-2014,41887,1299.949951,1310.900024,1291.530029,1299.300049,1124.352783,1467060
08-09-2014,41890,1306,1325,1299.530029,1321.349976,1143.43396,1697342
09-09-2014,41891,1326,1333.5,1312.550049,1315.619995,1138.475586,1418098
10-09-2014,41892,1319,1321.380005,1295.599976,1300.069946,1125.019043,1258768
11-09-2014,41893,1305,1312.199951,1295.75,1299.180054,1124.249023,1075622
12-09-2014,41894,1305,1312.180054,1296.599976,1303.800049,1128.247192,1196210
15-09-2014,41897,1307,1309.300049,1277,1279.150024,1106.915894,1151544
16-09-2014,41898,1283,1287.5,1272,1275.430054,1103.696777,1535608
